"지역별(1)",2017,2017,2017,2017,2017,2017,2017
"지역별(1)",계,내원 3일 이내,내원 3~7일,내원 7~10일,내원 10~30일,내원 31일 이상,미상
"전체",3039,1748,452,194,489,156,0
"서울",565,309,79,38,106,33,0
"부산",175,111,27,7,24,6,0
"대구",139,72,23,18,19,7,0
"인천",174,91,31,12,27,13,0
"광주",80,40,9,4,20,7,0
"대전",71,46,5,5,12,3,0
"울산",46,23,7,5,8,3,0
"세종",10,6,2,2,0,0,0
"경기",609,330,103,41,108,27,0
"강원",124,69,22,7,20,6,0
"충북",98,54,17,5,18,4,0
"충남",167,114,15,10,20,8,0
"전북",156,107,18,7,15,9,0
"전남",176,99,27,11,28,11,0
"경북",237,147,31,12,37,10,0
"경남",175,110,30,9,22,4,0
"제주",37,20,6,1,5,5,0
