"행정구역","2021년07월_총인구수","2021년07월_세대수","2021년07월_세대당 인구","2021년07월_남자 인구수","2021년07월_여자 인구수","2021년07월_남여 비율"
"서울특별시  (1100000000)","9,558,153","4,409,964","          2.17","4,645,177","4,912,976","          0.95"
"서울특별시 종로구 (1111000000)","145,692","73,453","          1.98","70,810","74,882","          0.95"
"서울특별시 중구 (1114000000)","122,951","63,001","          1.95","59,945","63,006","          0.95"
"서울특별시 용산구 (1117000000)","225,977","111,635","          2.02","108,709","117,268","          0.93"
"서울특별시 성동구 (1120000000)","288,703","134,493","          2.15","140,811","147,892","          0.95"
"서울특별시 광진구 (1121500000)","342,111","167,057","          2.05","165,039","177,072","          0.93"
"서울특별시 동대문구 (1123000000)","337,946","166,670","          2.03","167,252","170,694","          0.98"
"서울특별시 중랑구 (1126000000)","389,428","185,131","          2.10","192,355","197,073","          0.98"
"서울특별시 성북구 (1129000000)","433,361","194,528","          2.23","209,004","224,357","          0.93"
"서울특별시 강북구 (1130500000)","302,113","144,563","          2.09","147,237","154,876","          0.95"
"서울특별시 도봉구 (1132000000)","319,893","138,490","          2.31","155,869","164,024","          0.95"
"서울특별시 노원구 (1135000000)","515,198","217,310","          2.37","248,250","266,948","          0.93"
"서울특별시 은평구 (1138000000)","475,008","213,889","          2.22","227,339","247,669","          0.92"
"서울특별시 서대문구 (1141000000)","306,839","143,274","          2.14","146,724","160,115","          0.92"
"서울특별시 마포구 (1144000000)","370,185","179,007","          2.07","174,291","195,894","          0.89"
"서울특별시 양천구 (1147000000)","450,431","181,098","          2.49","220,815","229,616","          0.96"
"서울특별시 강서구 (1150000000)","577,058","269,653","          2.14","278,142","298,916","          0.93"
"서울특별시 구로구 (1153000000)","398,744","180,324","          2.21","196,713","202,031","          0.97"
"서울특별시 금천구 (1154500000)","230,665","115,910","          1.99","116,699","113,966","          1.02"
"서울특별시 영등포구 (1156000000)","377,408","185,467","          2.03","186,432","190,976","          0.98"
"서울특별시 동작구 (1159000000)","387,810","184,175","          2.11","187,614","200,196","          0.94"
"서울특별시 관악구 (1162000000)","488,525","274,975","          1.78","245,370","243,155","          1.01"
"서울특별시 서초구 (1165000000)","418,294","171,743","          2.44","200,107","218,187","          0.92"
"서울특별시 강남구 (1168000000)","530,529","232,642","          2.28","253,799","276,730","          0.92"
"서울특별시 송파구 (1171000000)","658,093","280,881","          2.34","317,209","340,884","          0.93"
"서울특별시 강동구 (1174000000)","465,191","200,595","          2.32","228,642","236,549","          0.97"
"부산광역시  (2600000000)","3,361,781","1,535,294","          2.19","1,645,794","1,715,987","          0.96"
"부산광역시 중구 (2611000000)","40,666","23,714","          1.71","19,862","20,804","          0.95"
"부산광역시 서구 (2614000000)","106,314","53,159","          2.00","51,476","54,838","          0.94"
"부산광역시 동구 (2617000000)","87,764","45,930","          1.91","42,907","44,857","          0.96"
"부산광역시 영도구 (2620000000)","111,580","54,643","          2.04","54,999","56,581","          0.97"
"부산광역시 부산진구 (2623000000)","355,589","172,962","          2.06","171,638","183,951","          0.93"
"부산광역시 동래구 (2626000000)","267,994","115,239","          2.33","130,335","137,659","          0.95"
"부산광역시 남구 (2629000000)","263,764","117,384","          2.25","128,982","134,782","          0.96"
"부산광역시 북구 (2632000000)","283,696","122,336","          2.32","140,241","143,455","          0.98"
"부산광역시 해운대구 (2635000000)","398,645","171,911","          2.32","191,773","206,872","          0.93"
"부산광역시 사하구 (2638000000)","306,866","138,547","          2.21","152,755","154,111","          0.99"
"부산광역시 금정구 (2641000000)","229,228","107,360","          2.14","112,049","117,179","          0.96"
"부산광역시 강서구 (2644000000)","141,226","60,289","          2.34","73,100","68,126","          1.07"
"부산광역시 연제구 (2647000000)","205,936","92,192","          2.23","99,089","106,847","          0.93"
"부산광역시 수영구 (2650000000)","175,722","85,083","          2.07","83,010","92,712","          0.90"
"부산광역시 사상구 (2653000000)","210,005","98,304","          2.14","106,013","103,992","          1.02"
"부산광역시 기장군 (2671000000)","176,786","76,241","          2.32","87,565","89,221","          0.98"
"대구광역시  (2700000000)","2,395,749","1,060,394","          2.26","1,181,351","1,214,398","          0.97"
"대구광역시 중구 (2711000000)","74,433","38,274","          1.94","35,757","38,676","          0.92"
"대구광역시 동구 (2714000000)","340,426","156,966","          2.17","167,503","172,923","          0.97"
"대구광역시 서구 (2717000000)","167,270","82,983","          2.02","83,659","83,611","          1.00"
"대구광역시 남구 (2720000000)","144,889","76,583","          1.89","69,663","75,226","          0.93"
"대구광역시 북구 (2723000000)","437,083","188,937","          2.31","217,540","219,543","          0.99"
"대구광역시 수성구 (2726000000)","420,048","171,224","          2.45","203,235","216,813","          0.94"
"대구광역시 달서구 (2729000000)","550,640","235,545","          2.34","271,525","279,115","          0.97"
"대구광역시 달성군 (2771000000)","260,960","109,882","          2.37","132,469","128,491","          1.03"
"인천광역시  (2800000000)","2,937,440","1,283,524","          2.29","1,470,985","1,466,455","          1.00"
"인천광역시 중구 (2811000000)","140,641","69,295","          2.03","73,107","67,534","          1.08"
"인천광역시 중구영종출장소 (2811400000)","0","0","          0.00","0","0","          0.00"
"인천광역시 중구용유출장소 (2811800000)","0","0","          0.00","0","0","          0.00"
"인천광역시 동구 (2814000000)","62,258","28,930","          2.15","31,461","30,797","          1.02"
"인천광역시 미추홀구 (2817700000)","404,560","190,636","          2.12","203,720","200,840","          1.01"
"인천광역시 연수구 (2818500000)","390,638","155,510","          2.51","194,088","196,550","          0.99"
"인천광역시 남동구 (2820000000)","520,683","227,202","          2.29","258,582","262,101","          0.99"
"인천광역시 부평구 (2823700000)","490,138","212,758","          2.30","242,133","248,005","          0.98"
"인천광역시 계양구 (2824500000)","296,173","126,611","          2.34","147,557","148,616","          0.99"
"인천광역시 서구 (2826000000)","542,635","226,279","          2.40","274,060","268,575","          1.02"
"인천광역시 서구검단출장소 (2826500000)","0","0","          0.00","0","0","          0.00"
"인천광역시 강화군 (2871000000)","69,326","34,252","          2.02","34,681","34,645","          1.00"
"인천광역시 옹진군 (2872000000)","20,388","12,051","          1.69","11,596","8,792","          1.32"
"광주광역시  (2900000000)","1,442,482","639,333","          2.26","713,626","728,856","          0.98"
"광주광역시 동구 (2911000000)","103,185","51,550","          2.00","50,938","52,247","          0.97"
"광주광역시 서구 (2914000000)","292,724","131,981","          2.22","143,459","149,265","          0.96"
"광주광역시 남구 (2915500000)","214,111","94,256","          2.27","102,933","111,178","          0.93"
"광주광역시 북구 (2917000000)","428,040","194,047","          2.21","212,537","215,503","          0.99"
"광주광역시 광산구 (2920000000)","404,422","167,499","          2.41","203,759","200,663","          1.02"
"대전광역시  (3000000000)","1,455,300","658,831","          2.21","726,281","729,019","          1.00"
"대전광역시 동구 (3011000000)","223,198","107,104","          2.08","112,539","110,659","          1.02"
"대전광역시 중구 (3014000000)","232,627","107,576","          2.16","114,663","117,964","          0.97"
"대전광역시 서구 (3017000000)","474,653","212,022","          2.24","233,371","241,282","          0.97"
"대전광역시 유성구 (3020000000)","349,836","153,197","          2.28","176,651","173,185","          1.02"
"대전광역시 대덕구 (3023000000)","174,986","78,932","          2.22","89,057","85,929","          1.04"
"울산광역시  (3100000000)","1,125,727","480,623","          2.34","578,511","547,216","          1.06"
"울산광역시 중구 (3111000000)","214,584","93,552","          2.29","108,678","105,906","          1.03"
